codigo_postal,nombre,tipo,municipio_id,estado_id
21160,Ejido Orizaba,Colonia,Mexicali,02
21165,Popular Nacionalistas,Fraccionamiento,Mexicali,02
21170,Militar,Colonia,Mexicali,02
21170,27 de Septiembre,Fraccionamiento,Mexicali,02
21178,Electricistas,Colonia,Mexicali,02
21179,Martha Welch,Colonia,Mexicali,02
21180,Universitario,Colonia,Mexicali,02
21180,Villafontana,Fraccionamiento,Mexicali,02
21185,El Papago INFONAVIT,Unidad habitacional,Mexicali,02
21185,El Porvenir,Colonia,Mexicali,02
21185,Francisco Zarco,Fraccionamiento,Mexicali,02
21188,Las Palomas,Fraccionamiento,Mexicali,02
21188,Mediterráneo,Fraccionamiento,Mexicali,02
21188,Misión Virreyes,Fraccionamiento,Mexicali,02
21188,Progreso,Zona industrial,Mexicali,02
21188,Solidaridad INFONAVIT,Unidad habitacional,Mexicali,02
21188,Solidaridad INFONAVIT II,Unidad habitacional,Mexicali,02
21188,Puesta de Sol Residencial,Fraccionamiento,Mexicali,02
21188,Residencial San Francisco,Fraccionamiento,Mexicali,02
21188,Ampliación Progreso,Zona industrial,Mexicali,02
21190,Granjas Virreyes,Colonia,Mexicali,02
21190,Huertas de La Progreso,Colonia,Mexicali,02
21190,Gigantes del Desierto,Fraccionamiento,Mexicali,02
21190,Hermanos Fuentes,Colonia,Mexicali,02
21190,Centaurus,Fraccionamiento,Mexicali,02
21190,Santo Niño,Colonia,Mexicali,02
21190,Ampliación Popular Santo Niño,Fraccionamiento,Mexicali,02
21190,Real Virreyes,Fraccionamiento,Mexicali,02
21190,Residencial San Andrés,Fraccionamiento,Mexicali,02
21190,Viñas del Sol,Fraccionamiento,Mexicali,02
21200,Cuauhtémoc Norte,Colonia,Mexicali,02
21200,Cuauhtémoc Sur,Colonia,Mexicali,02
21210,Alamitos,Colonia,Mexicali,02
21210,Pimsa I,Zona industrial,Mexicali,02
21210,San Gabriel,Colonia,Mexicali,02
21210,Sonora,Fraccionamiento,Mexicali,02
21210,Residencial Argentina,Fraccionamiento,Mexicali,02
21210,Compuertas,Colonia,Mexicali,02
21210,Estatutos Jurídicos,Colonia,Mexicali,02
21210,Prolongación Alamitos,Colonia,Mexicali,02
21215,Alameda,Colonia,Mexicali,02
21216,Las Hadas,Fraccionamiento,Mexicali,02
21217,Andalucía,Colonia,Mexicali,02
21218,Compuertas,Colonia,Mexicali,02
21219,Residencial Hípico,Fraccionamiento,Mexicali,02
21220,Corregidora,Colonia,Mexicali,02
21220,El Porvenir,Colonia,Mexicali,02
21220,Hega,Fraccionamiento,Mexicali,02
21220,Imperial,Colonia,Mexicali,02
21220,Josefa Ortiz de Domínguez,Colonia,Mexicali,02
21220,Flores Magón,Colonia,Mexicali,02
21220,Flores Magón,Fraccionamiento,Mexicali,02
21220,Armando Gutiérrez,Colonia,Mexicali,02
21224,Los Morros,Colonia,Mexicali,02
21224,Nuevo Ideal,Colonia,Mexicali,02
21225,Valle de Álamo,Colonia,Mexicali,02
21225,Reserva Residencial,Fraccionamiento,Mexicali,02
21225,Calzada,Fraccionamiento,Mexicali,02
