codigo_postal,nombre,tipo,municipio_id,estado_id
20000,Aguascalientes Centro,Colonia,Aguascalientes,01
20010,Colinas del Rio,Fraccionamiento,Aguascalientes,01
20010,Olivares Santana,Colonia,Aguascalientes,01
20010,Las Brisas,Fraccionamiento,Aguascalientes,01
20010,Ramon Romo Franco,Fraccionamiento,Aguascalientes,01
20010,San Cayetano,Fraccionamiento,Aguascalientes,01
20016,Colinas de San Ignacio,Fraccionamiento,Aguascalientes,01
20016,La Fundición,Fraccionamiento,Aguascalientes,01
20016,Fundición II,Fraccionamiento,Aguascalientes,01
20016,Los Sauces,Fraccionamiento,Aguascalientes,01
20018,Línea de Fuego,Colonia,Aguascalientes,01
20020,Buenos Aires,Colonia,Aguascalientes,01
20020,Circunvalación Norte,Fraccionamiento,Aguascalientes,01
20020,Las Arboledas,Fraccionamiento,Aguascalientes,01
20020,Villas de San Francisco,Fraccionamiento,Aguascalientes,01
20029,Villas de La Universidad,Fraccionamiento,Aguascalientes,01
20030,El Sol,Fraccionamiento,Aguascalientes,01
20030,Gremial,Colonia,Aguascalientes,01
20030,Industrial,Colonia,Aguascalientes,01
20040,Altavista,Colonia,Aguascalientes,01
20040,Curtidores,Colonia,Aguascalientes,01
20040,La Concordia,Fraccionamiento,Aguascalientes,01
20040,Miravalle,Colonia,Aguascalientes,01
20040,Panorama,Fraccionamiento,Aguascalientes,01
20040,Residencial Guadalupe,Fraccionamiento,Aguascalientes,01
20049,Colinas del Poniente,Fraccionamiento,Aguascalientes,01
20050,Bugambilias,Condominio,Aguascalientes,01
20050,Del Carmen,Colonia,Aguascalientes,01
20050,La Fe,Colonia,Aguascalientes,01
20050,Primavera,Colonia,Aguascalientes,01
20050,San Pablo,Colonia,Aguascalientes,01
20059,Guadalupe,Colonia,Aguascalientes,01
20059,Heliodoro Garcia,Colonia,Aguascalientes,01
20060,Gómez,Fraccionamiento,Aguascalientes,01
20060,Moderno,Fraccionamiento,Aguascalientes,01
20064,Valle del Rio San Pedro,Fraccionamiento,Aguascalientes,01
20070,Guadalupe Posada,Unidad habitacional,Aguascalientes,01
20070,San Marcos,Colonia,Aguascalientes,01
20070,San Marcos,Barrio,Aguascalientes,01
20078,San Marcos,Fraccionamiento,Aguascalientes,01
20080,Modelo,Fraccionamiento,Aguascalientes,01
20080,Residencial del Valle I,Fraccionamiento,Aguascalientes,01
20089,Residencial del Valle II,Fraccionamiento,Aguascalientes,01
20100,La Herradura,Fraccionamiento,Aguascalientes,01
20100,Club Campestre,Fraccionamiento,Aguascalientes,01
20100,Jardines del Campestre,Condominio,Aguascalientes,01
