ID,TIPO_REPORTE_ID,AREA_ID,MEDIO_ID,DIREECION_ID,ZONA DEL ESTADO,TIPO DE DESAPARICION,ESTATUS DE LA PERSONA DESAPARECIDA O NO LOCALIZADA,FECHA DE DESAPARICION,FECHA EN QUE SE PERCATO,FOLIO CEBV
200,5,3,2,200,NORTE,,NO LOCALIZADA,24/04/2022,24/04/2022,23/SB 0860U-22ZN
201,5,3,2,201,CENTRO,,LOCALIZADA CON VIDA,19/05/2023,19/05/2023,23/SB 0861U-23ZC
202,5,3,2,202,NORTE,,LOCALIZADA SIN VIDA,21/05/2023,21/05/2023,23/SB 0862U-23ZN
203,5,3,2,203,CENTRO,,LOCALIZADA CON VIDA,19/05/2023,19/05/2023,23/SB 0863U-23ZC
204,5,3,2,204,CENTRO,,LOCALIZADA CON VIDA,24/05/2023,24/05/2023,23/SB 0864U-23ZC
205,5,3,2,205,CENTRO,,NO LOCALIZADA,24/05/2023,24/05/2023,23/SB 0865U-23ZC
206,5,3,2,206,CENTRO,,LOCALIZADA CON VIDA,25/05/2023,25/05/2023,23/SB 0866U-23ZC
207,5,3,2,207,CENTRO,,LOCALIZADA CON VIDA,22/05/2023,22/05/2023,23/SB 0867U-23ZC
208,5,3,2,208,CENTRO,,NO LOCALIZADA,26/05/2023,26/05/2023,23/SB 0868U-23ZC
209,5,3,2,209,CENTRO,,LOCALIZADA CON VIDA,27/05/2023,27/05/2023,23/SB 0869U-23ZC
210,5,3,2,210,CENTRO,,LOCALIZADA CON VIDA,27/05/2023,27/05/2023,23/SB 0870U-23ZC
211,5,3,2,211,CENTRO,,NO LOCALIZADA,27/05/2023,27/05/2023,23/SB 0871M-23ZC
212,5,3,1,212,CENTRO,,LOCALIZADA CON VIDA,18/05/2023,18/05/2023,23/SB 0872M-23ZC
213,5,3,1,213,CENTRO,,LOCALIZADA CON VIDA,18/05/2023,18/05/2023,23/SB 0873M-23ZC
214,5,3,1,214,CENTRO,,LOCALIZADA CON VIDA,18/05/2023,18/05/2023,23/SB 0874M-23ZC
215,5,3,1,215,CENTRO,,NO LOCALIZADA,27/05/2023,27/05/2023,23/SB 0875U-23ZC
216,5,3,1,216,CENTRO,,NO LOCALIZADA,27/05/2023,27/05/2023,23/SB 0876U-23ZC
217,5,3,1,217,CENTRO,,NO LOCALIZADA,14/04/2023,14/04/2023,23/SB 0877U-23ZC
218,5,3,1,218,SUR,,LOCALIZADA CON VIDA,28/05/2023,28/05/2023,23/SB 0878U-23ZS
219,5,3,1,219,CENTRO,,NO LOCALIZADA,29/05/2023,29/05/2023,23/SB 0879U-23ZC
220,5,3,1,220,SUR,,LOCALIZADA CON VIDA,29/05/2023,29/05/2023,23/SB 0880U-23ZS
221,5,3,1,221,SUR,,LOCALIZADA CON VIDA,15/05/2023,15/05/2023,23/SB 0881U-23ZS
